kode,uraian,satuan,tenaga,bahan,alat
14.3,Batang,ls,-,-,-
1.1,PEKERJAAN PERSIAPAN,ls,-,-,-
1.1.1,Pembuatan Pagar Proyek,ls,-,-,-
1.1.1.1,Pembuatan 1 m’ pagar sementara dari kayu tinggi 2 meter,ls,"Pekerja 0.6;Tukang kayu 0.2;Tukang batu 0.2;Kepala tukang 0.04;Mandor 0.013;Pekerja 0.25;Tukang kayu 0.125;Tukang batu 0.125;Kepala tukang 0.025;Mandor 0.008;Pekerja 0.308;Tukang kayu 0.154;Tukang batu 0.154;Kepala tukang 0.031;Mandor 0.01;Pekerja 0.2;Tukang besi 0.1;Tukang batu 0.1;Mandor 0.02;Pekerja 0.042;Tukang kayu 0.04;Kepala tukang 0.004;Mandor 0.001;Pekerja 0.375;Tukang batu 0.125;Kepala tukang 0.0012;Mandor 0.019;Pekerja 1;Tukang kayu 1;Kepala tukang 0.1;Tukang pelitur 1.5;Mandor 0.1;Pekerja 0.75;Tukang kayu 0.75;Kepala tukang 0.1;Mandor 0.075;Pekerja 2;Tukang kayu 2;Tukang batu 1;Kepala tukang 0.3;Mandor 0.1;Pekerja 1.2;Tukang batu 0.4;Kepala tukang 0.04;Mandor 0.12;Pekerja 2.0296;Mandor 0.1309;Pembuatan 1 m2 jalan sementara (Jalan Kerikil) 1343200;Pembersihan & Pengupasan (Buang Top Soil dan Segala Tanaman) 1.0476;Penyiapan Badan Jalan (Pemadatan Fondasi Timbunan) 1.0476;Lapis Fondasi Agregat Kelas C (CBR > 30% ukuran butiran maksimum 2.5 cm) 0.2048;Lapis Resap Pengikat 1;Sewa Lahan (Jika di luar Rumija, Luas lahan bisa lebih besar dari contoh) 1.0476;Biaya Umum dan Keuntungan 10%-15% x D 0.1;1 m3 Pembersihan dan pengupasan permukaan tanah (striping) s.d. tanaman ∅ 2 cm 12100;Pekerja 0.1;Mandor 0.005;Pekerja 0.03;Mandor 0.003;Pekerja 0.05;Mandor 0.005;Pekerja 0.08;Mandor 0.008;Pekerja 0.012;Mandor 0.0012;Pekerja 0.17;Mandor 0.017;Pekerja 0.25;Mandor 0.025;Pekerja 0.1429;Mandor 0.0143;Pekerja 0.1675;Mandor 0.0168;Pekerja 0.1825;Mandor 0.0182;Pekerja 0.2613;Mandor 0.0261;Pekerja 0.3433;Mandor 0.0343;Pekerja 0.1507;Mandor 0.0151;Pekerja 0.2495;Mandor 0.025;Pekerja 0.3083;Mandor 0.0308;Pekerja 0.4713;Mandor 0.0471;Pekerja 0.75;Mandor 0.075;Pekerja 0.125;Juru ukur 0.25;Pembantu juru ukur 0.25;Juru gambar 2;Ahli topografi 2;Pekerja 0.012;Tukang kayu 0.006;Kepala tukang 0.0006;Mandor 0.0012;Pekerja 0.008;Tukang kayu 0.004;Kepala tukang 0.0004;Mandor 0.0008;Pekerja 0.012;Tukang kayu 0.006;Kepala tukang 0.0006;Mandor 0.0012",Kaso 5/7 kayu kelas II 0.0387;Papan Kayu ukuran 2/20 cm 0.0396;Paku biasa 5 inchi 0.5872;Semen Portland (PC) 26.406;Pasir Beton 61.56;Kerikil 83.349;Air 17.415;Residu 0.4;Kaso 5/7 kayu kelas II 0.031;Seng gelombang 1.3125;Paku biasa 5 inchi 0.4271;Semen Portland (PC) 26.406;Pasir beton 61.56;Kerikil 83.349;Air 17.415;Kaso 5/7 kayu kelas II 0.0139;Kawat duri 20.4457;Paku biasa 5 inchi 0.4715;Semen Portland (PC) 26.406;Pasir beton 61.56;Kerikil 83.349;Air 17.415;Seng gelombang bjls  30 panjang 180 cm 1.2;Baja L 40.40.4 13.5;Kawat seng 3mm 0.3;Pasangan batu ukuran 20/50 t=40cm 0.15;Kawat jaring panjang 240 cm 0.01649;Panel beton pracetak 0.986;Kolom beton pracetak 0.525;Semen Portland (PC) 45;Pasir beton 0.074;Kerikil 0.146;Multiplek tebal 18 mm 0.35;Tiang kayu 8/12 kelas II tinggi 4m 0.077;Frame besi L.30.30.3 5.8;Paku campuran 5 cm + 7 cm 1.25;Cat kayu 2.5;Multiplek tebal 9 mm 0.18;Tiang kayu 5/7 kelas II tinggi 3m 0.021;Frame Allum L.10.1 0.1;Banner plastik 0.6x0.8 m2 0.48;Paku campuran 5 cm + 7 cm 1.25;Cat kayu 1.5;Dolken kayu φ 8-10 panjang 400 cm 1.25;Kayu 0.18;Paku biasa 5 inchi 0.08;Besi strip 1.1;Semen Portland (PC) 35;Pasir pasang 0.15;Pasir beton 0.1;Koral Beton 0.15;Bata merah 30;Seng pelat 0.25;Jendela nako 0.2;Kaca polos 0.08;Kunci tanam 0.15;Plywood 4 mm 0.06;Kaso 5/7 0.35;Multiplek tebal 4 mm 1;Fondasi pasangan batu 0.17;GRC Pelat t=4 mm uk 122x244 cm 1.24;Paku 0.75;Asbes gelombang 0.3;Paku asbes 0.1;Floor lantai (Beton lantai kerja) 0.15;Pintu Double teakwood rangka kayu 0.1;Frame besi kaca nako 1;cat dinding 16.5;Agg Pokok 1.0594;Agg Pengunci 0.3311;Agg Penutup 0.1854;Aspal 80;Kaso 5/7 kayu kelas II 0.151;Paku payung 0.508;Kaso 5/7 0.013;Kayu papan 3/20 cm 0.007;Paku 2 inch 0.02;Kaso 5/7 kayu kelas II 0.013;Paku Payung 1.1;Kaso 5/7 kayu kelas II 0.0035;Paku Payung 1.1;Pen Kuningan titik acuan 1.05;Marmer Graphir 10x10 cm 1.05;Pen kuningan titik acuan 0.0035;Marmer Graphir 12x12 cm 1.1,"Biaya Umum dan Keuntungan 10%-15% x D 0.1;Pembuatan 1 m’ pagar sementara dari seng gelombang rangka kayu tinggi 2 meter 635500;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Pembuatan 1 m’ pagar sementara dari kawat duri tinggi 2 meter 378200;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Pembuatan 1 m’ pagar sementara  seng gelombang rangka baja L.40.40.4 tinggi pagar 1.8 meter 428900;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Pembuatan 1 m2 pagar BRC Galvanis 17400;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Pemasangan 1 m2 panel beton pracetak 50x50x240 untuk pagar 484900;Biaya Umum dan Keuntungan 10%-15% x D 0.1;1 buah papan nama pekerjaan ukuran 0.8x1.2 menggunakan multiflex 18 mm, frame besi siku dan tiang kayu 8/12 1909000;Biaya Umum dan Keuntungan 10%-15% x D 0.1;1 buah papan nama pekerjaan ukuran 0.6x08 menggunakan multiplex 10 mm, frame allumunium siku dan tiang kayu 5/7, printing banner plastik 702500;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Pembuatan 1 m2 direksi keet (Kantor), los kerja dan gudang 5699600;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Pembuatan 1 m2 jalan sementara lapis macadam 1368300;Wheel Loader 0.0071;Dump Truck 1 0.3189;Dump Truck 2 0.3202;Dump Truck 3 0.3237;Three Wheel Roller 0.0655;Asphalt Distributor 0.0157;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Pembuatan 1 m2 jalan sementara (Jalan Tanah) 1281300;Pembersihan & Pengupasan (Buang Top Soil dan Segala Tanaman) 1.0476;Penyiapan Badan Jalan (Pemadatan Fondasi Timbunan) 1.0476;Timbunan Pilihan (CBR>10%) 0.2048;Sewa Lahan (Jika di luar Rumija, Luas lahan bisa lebih besar dari contoh) 1.0476;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Tebas tebang 1 m2 tanaman/tumbuhan ∅ < 5 cm 3900;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Tebas tebang 1 m
2
 tanaman/tumbuhan ∅ >5 s.d. 15 cm 6600;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Tebas tebang 1 batang pohon/tumbuhan ∅ >15 s.d. 30 cm 22300;Chainsaw 20”; 5,5HP 0.0357;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Tebas tebang 1 batang pohon/tumbuhan ∅ > 30 s.d 50 cm 22200;Chainsaw 20”; 5,5HP 0.0625;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Tebas tebang 1 batang pohon/tumbuhan ∅ > 50 s.d 75 cm (diameter pohon diukur 1 m di atas permukaan tanah) 48800;Chainsaw 30”; 7,5HP 0.08;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Tebas tebang 1 batang pohon/tumbuhan ∅ > 75 cm (diameter pohon diukur 1 m di atas permukaan tanah) 62700;Chainsaw 30”; 7,5HP 0.09;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 5 s.d. 15 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang) 48500;Chainsaw 20”; 5,5HP 0.09;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm  s.d. 30 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang) 68300;Chainsaw 20”; 5,5HP 0.14;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 30 cm  s.d. 50 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang) 96600;Chainsaw 20”; 5,5HP 0.22;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 50 cm  s.d. 75 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang) 149900;Chainsaw 20”; 5,5HP 0.35;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 75 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang) 218200;Chainsaw 20”; 5,5HP 0.524;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 5 s.d. 15 cm (termasuk pembuangan sisa tunggul dengan menutup kembali bekas lubang) 49500;Chainsaw 20”; 5,5HP 0.09;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm s.d. 30 cm (termasuk pembuangan sisa tunggul dengan menutup kembali bekas lubang) 79100;Chainsaw 20”; 5,5HP 0.14;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm s.d. 50 cm (termasuk pembuangan sisa tunggul dengan menutup kembali bekas lubang) 113200;Chainsaw 20”; 5,5HP 0.22;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm s.d. 75 cm (termasuk pembuangan sisa tunggul dengan menutup kembali bekas lubang) 177700;Chainsaw 20”; 5,5HP 0.35;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Gali dan cabut 1 tunggul pohon tanaman keras ∅ >  75 cm (termasuk pembuangan sisa tunggul dengan menutup kembali bekas lubang) 271900;Chainsaw 20”; 5,5HP 0.524;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Pengukuran ulang topografi seluas 1 Ha 3277000;Waterpass 1;Theodolit 1;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Pasangan 1 m' bouwplank 171500;Waterpass 0.006;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Patok Kayu (kaso5/7) Panjang 0,5 m' 191300;Waterpass 0.004;Biaya Umum dan Keuntungan 10%-15% x D 0.1;1 Buah Patok Kayu (Kaso 5/7) panjang 1 m' 85500;Waterpass 0.006;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Patok Tetap Bantu (PTB) 144200;Galian tanah biasa 0.273;Timbunan Pasir 0.003;Pembesian 2.3;Bekisting 0.4;Beton fc' 15 Mpa 0.013;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Patok Tetap Utama (PTU) 215800;Galian tanah biasa 0.3;Timbunan Pasir 0.02;BjTP 4.1;Bekisting 0.86;Beton fc' 15 Mpa 0.05;Biaya Umum dan Keuntungan 10%-15% x D 0.1"
1.2,PEKERJAAN GALIAN TANAH,ls,-,-,-
1.2.1,Tanah Biasa,ls,-,-,-
1.2.1.1,Cara Manual,ls,-,-,-
1.2.1.1.1,Penggalian 1 m3 tanah biasa sedalam 0 s.d. 1 m untuk volume s.d. 200 m3 secara manual,ls,Pekerja 0.75;Mandor 0.038;Pekerja 0.563;Mandor 0.0563;Pekerja 0.4;Mandor 0.04;Pekerja 0.9;Mandor 0.045;Pekerja 0.675;Mandor 0.0675;Pekerja 1.05;Mandor 0.067;Pekerja 0.76;Mandor 0.076;Pekerja 0.075;Mandor 0.0075;Pekerja 0.135;Mandor 0.0135;Pekerja 0.188;Mandor 0.0188;Pekerja 0.25;Mandor 0.025;Pekerja 0.075;Mandor 0.0075;Pekerja 0.66;Mandor 0.066;Pekerja 0.8;Mandor 0.008;Pekerja 0.92;Mandor 0.092;Pekerja 0.1;Mandor 0.01;Pekerja 0.25;Mandor 0.025;Pekerja 0.265;Mandor 0.0265;Pekerja 0.28;Mandor 0.028;Pekerja 0.015;Mandor 0.0015;Pekerja 1.351;Mandor 0.01351;Pekerja 1.5;Mandor 0.15;Pekerja 1.65;Mandor 0.165;Pekerja 0.14;Mandor 0.014;Pekerja 0.3024;Mandor 0.0302;Pekerja 0.395;Mandor 0.0395;Pekerja 0.504;Mandor 0.0504;Pekerja 0.14;Mandor 0.014;Pekerja 1.5;Mandor 0.075;Pekerja 1.25;Mandor 0.0125;Pekerja 1.5;Mandor 0.06;Pekerja 1.392;Mandor 0.1392;Pekerja 1.5;Mandor 0.15;Pekerja 0.1;Mandor 0.01;Pekerja 0.2268;Mandor 0.0227;Pekerja 0.3027;Mandor 0.0303;Pekerja 0.392;Mandor 0.0392;Pekerja 0.1;Mandor 0.01;Pekerja 1.2;Mandor 0.06;Pekerja 0.83;Mandor 0.083;Pekerja 1.44;Mandor 0.072;Pekerja 1;Mandor 0.1;Pekerja 1.15;Mandor 0.115;Pekerja 0.15;Mandor 0.015;Pekerja 0.24;Mandor 0.024;Pekerja 0.27;Mandor 0.027;Pekerja 0.295;Mandor 0.0295;Pekerja 0.02;Mandor 0.002,-,"Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah biasa sedalam 0 s.d. 1 m untuk volume 200 m3 s.d 2.000 m3 secara manual 74300;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah biasa sedalam 0 s.d. 1 m untuk volume > 2.000 m3 secara Manual 52800;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah biasa sedalam > 1 s.d. 2 m untuk volume s.d 200 m3 secara manual 108900;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah biasa sedalam > 1 s.d. 2 m untuk volume > 200 m3 secara manual 89100;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah biasa sedalam > 2 s.d. 3 m untuk volume s.d 200 m3 secara manual 130200;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah biasa sedalam > 2 s.d. 3 m untuk volume > 200 m3 secara manual 100300;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanh biasa sedalam > 0 s.d 1 m secara semi mekanis 131600;Jack hammer + genset 0.045;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah biasa sedalam >1 s.d 2 m secara semi mekanis 143700;Jack hammer + genset 0.047;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah biasa sedalam >2 s.d 3 m secara semi mekanis 159500;Jack hammer + genset 0.05;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Jack hammer + genset 0.003;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 pasir sedalam >0 s.d 1 m secara manual 87100;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 pasir sedalam > 1 s.d 2 m secara manual 89700;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 pasir sedalam > 2 s.d 3 m secara manual 121400;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 pasir sedalam >  0 s.d 1 m secara semi mekanis 45300;Pompa Sedot Pasir 0.04;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 pasir sedalam >  1 s.d 2 m secara semi mekanis 51900;Pompa Sedot Pasir 0.055;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 pasir sedalam >  2 s.d 3 m secara semi mekanis 59100;Pompa sedot pasir 0.072;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Pompa sedot pasir 0.022;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah berbatu sedalam > 0 s.d 1 m secara Manual 151500;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah berbatu sedalam > 1 s.d 2 m secara Manual 198000;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah berbatu sedalam > 2 s.d 3 m secara Manual 217800;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah berbatu sedalam >3 m, setiap tambah dalam 1 m secara Manual 18400;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah berbatu sedalam > 0 s.d 1 m secara semi mekanis 231100;Jack hammer + genset 0.0756;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah berbatu sedalam > 1 s.d 2 m secara semi mekanis 252000;Jack hammer + genset 0.079;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 tanah berbatu sedalam > 2 s.d 3 m secara semi mekanis 279000;Jack hammer + genset 0.084;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Jack hammer + genset 0.005;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 cadas atau tanah keras sedalam > 0 s.d 1 m untuk volume s.d 200m3 secara manual 181500;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 cadas atau tanah keras sedalam > 0 s.d 1 m untuk volume > 200 m3 secara manual 140200;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 cadas atau tanah keras sedalam > 1 s.d 2 m untuk volume s.d 200 m3 secara manual 178200;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 cadas atau tanah keras sedalam > 1 s.d 2 m untuk volume > 200 m3 secara manual 183700;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 cadas atau tanah keras sedalam > 2 s.d 3 m untuk volume >s.d 200 m3 secara manual 198000;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 cadas atau tanah keras sedalam > 0 s.d 1 m secara semi mekanis 189300;Jack hammer + genset 0.063;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 cadas atau tanah keras sedalam > 1 s.d 2 m secara semi mekanis 206400;Jack hammer + genset 0.0658;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 cadas atau tanah keras sedalam > 2 s.d 3 m secara semi mekanis 228800;Jack hammer + genset 0.07;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Jack hammer + genset 0.004;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 galian lumpur sedalam >0 s.d 1 m untuk volume s.d 200 m3 secara manual 145200;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 galian lumpur sedalam >0 s.d 1 m untuk volume > 200 m3 secara manual 109500;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 galian lumpur sedalam > 1 m s.d 2 m untuk volume s.d 200 m3 secara manual 174200;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 galian lumpur sedalam > 1 m s.d 2 m untuk volume > 200 m3 secara manual 132000;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 galian lumpur sedalam >  2 m s.d 3 m  secara manual 151800;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 lumpur sedalam >0 s.d 1 m secara semi mekanis 38800;Pompa Lumpur 0.025;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 lumpur sedalam > 1 m s.d 2 m secara semi mekanis 64200;Pompa Lumpur 0.1;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 lumpur sedalam > 2 m s.d 3 m secara semi mekanis 51800;Pompa Lumpur 0.045;Biaya Umum dan Keuntungan 10%-15% x D 0.1;Penggalian 1 m3 lumpur sedalam > 3 m setiap tambah kedalaman 1 m secara semi mekanis 5500;Pompa Lumpur 0.01;Biaya Umum dan Keuntungan 10%-15% x D 0.1"
1.3,PEKERJAAN TIMBUNAN DAN PEMADATAN,ls,-,-,-
1.3.1,Timbunan atau Urukan Secara Manual,ls,-,-,-
